room	start	duration	status
entrance	2024-11-16 20:54:28	7.0	Emergency
corridor	2024-11-16 20:54:35	0.0	Normal
entrance	2024-11-16 20:54:47	0.0	Normal
corridor	2024-11-16 20:54:47	9.0	Emergency
entrance	2024-11-16 20:54:56	4.0	Emergency
corridor	2024-11-16 20:55:00	12.0	Emergency
entrance	2024-11-16 20:55:12	7.0	Emergency
corridor	2024-11-16 20:55:19	0.0	Normal
entrance	2024-11-16 20:55:26	0.0	Normal
corridor	2024-11-16 20:55:26	0.0	Normal
entrance	2024-11-16 20:55:35	0.0	Normal
corridor	2024-11-16 20:55:35	0.0	Normal
entrance	2024-11-16 20:55:42	0.0	Normal
corridor	2024-11-16 20:55:42	8.0	Emergency
entrance	2024-11-16 20:55:50	0.0	Normal
corridor	2024-11-16 20:56:02	0.0	Normal
entrance	2024-11-16 20:56:02	0.0	Normal
corridor	2024-11-16 20:56:16	0.0	Normal
entrance	2024-11-16 20:56:16	0.0	Normal
corridor	2024-11-16 20:56:23	0.0	Normal
entrance	2024-11-16 20:56:23	0.0	Normal
corridor	2024-11-16 20:56:30	0.0	Normal
entrance	2024-11-16 20:56:30	10.0	Emergency
corridor	2024-11-16 20:56:40	0.0	Normal
entrance	2024-11-16 20:56:47	0.0	Normal
corridor	2024-11-16 20:56:47	12.0	Emergency
entrance	2024-11-16 20:56:59	0.0	Normal
corridor	2024-11-16 20:57:05	0.0	Normal
entrance	2024-11-16 20:57:05	10.0	Emergency
corridor	2024-11-16 20:57:15	0.0	Normal
entrance	2024-11-16 20:57:23	0.0	Normal
corridor	2024-11-16 20:57:23	0.0	Normal
entrance	2024-11-16 20:57:28	0.0	Normal
corridor	2024-11-16 20:57:28	0.0	Normal
entrance	2024-11-16 20:57:45	0.0	Normal
corridor	2024-11-16 20:57:45	0.0	Normal
entrance	2024-11-16 20:57:49	0.0	Normal
